Class_in,Ethnic Marker,OCWhite,OCBlack,OCAIAN,OCChinese,OCFilipino,OCAsianIndian,OCVietnamese,OCKorean,OCJapanese,OCNatHaw,OCSamoan,OCChamorro,OCOPI,OCOther,OtherRace,PCWhite,PCLatino,PCBlack,PCAsian,PCAIAN,PCMENA,PCNHPI,StreetRace,LatinoIdentity,Other_LatIdentity,Crime_LI,Crime_I,Finance,Physical,Mental,Sleep,Tasks,Relationships,Discrim_Latino,Discrim_Black,Discrim_White,Discrim_Imm,Trump,Biden,Harris,Vance,AOC,Desantis,Newsom,Sanders,MTG,SCOTUS,Congress,CGA,MAGA,Democrat,Republican,American,Personal
1,2,,1,,,,,,,,,,,,,,,,,,,,,3,10,,,5,1,2,1,2,2,2,,4,,4,0,25,27,15,90,35,61,60,50,30,15,,0,60,60,2,4
1,1,,,,,,,,,,,,,,1,middle eastern,,,,,,,,2,1,,4,,2,2,2,2,2,2,,4,,4,32,31,59,32,,,33,,,,,,27,,50,4,2
2,,,,,,,,,,,,,,,,,,1,,,,,,2,11,,,5,2,2,2,2,2,2,,4,,5,0,79,87,10,91,1,55,92,0,7,,,0,90,68,3,5
1,1,,,,,,,,,,,,,,1,"Central Asian, from Afghanistan",,,,,,,,2,1,,,4,1,1,1,1,1,1,,,3,5,,,,,,,,,,,,,,,,2,2
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,4,3,2,3,2,2,3,,,4,25,81,81,6,,10,80,100,,33,38,50,0,26,25,3,3
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,5,,3,2,2,2,2,2,2,,,3,20,65,65,,45,,70,60,25,85,60,60,20,40,30,3,2
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,5,1,3,2,1,2,1,,4,,5,0,,65,0,95,0,65,50,0,15,20,50,0,25,0,2,2
1,,,,,,,,,,,,,,,,,,1,,,,,,6,10,,,5,1,2,1,2,2,1,,4,,4,0,70,90,0,95,5,80,90,0,20,40,70,0,75,0,1,3
1,,,,,,,,,,,,,,,,,1,1,,,,,,1,10,,,5,2,2,2,2,2,2,4,,,4,50,,,,,,,,,,,,,,,4,2
1,3,,,,,,,,,,,,,,1,,,,,,,,,2,4,,5,,2,2,2,1,2,2,,,1,5,0,85,100,0,,50,100,70,50,49,,,0,100,0,4,4
1,1,,,,,,,,,,,,,,1,Afghan,,,,,,,,6,1,,,5,3,3,2,1,3,2,,,2,4,18,68,64,10,64,,84,64,60,59,33,62,10,75,11,2,2
2,,,,,,,,,,,,,,,,,1,,,1,,,,4,1,,4,,2,2,1,1,2,1,,,2,5,1,70,70,15,85,20,75,80,30,50,,,1,,,2,4
2,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,5,1,2,1,1,1,1,,,2,5,0,40,80,0,100,10,60,95,10,40,70,50,0,70,30,2,4
2,,,,,,,,,,,,,,,,,,1,,,,,,2,5,,,5,2,1,1,2,2,3,,,1,4,0,56,56,0,62,0,58,56,0,34,38,,0,,15,5,5
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,3,,3,2,2,1,2,2,,,1,4,20,25,25,25,20,,30,30,18,22,22,39,5,22,5,3,4
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,3,,2,2,1,2,2,3,,4,,5,0,45,79,0,73,0,76,88,0,21,18,47,0,71,17,2,4
1,3,1,,,,,,,,,,,,,,,,,,,,,,1,13,Spanish,,3,1,2,2,2,2,2,,3,,3,100,0,0,100,0,87,27,28,,100,84,,94,23,98,2,3
2,,,,,,,,,,,,,,,,,,,,1,,,,7,1,,,5,2,2,1,3,1,1,4,,,4,0,66,86,18,91,0,100,81,0,46,,83,0,81,0,2,4
