democratic_party_therm,republican_party_therm,respondent_pid,respondent_race,respondent_gender,christ_fundementalist_therm,feminist_therm,labor_union_therm,poor_therm,big_biz_therm,rich_therm,police_therm,scientists_therm
40,60,6,5,1,70,50,100,50,40,50,100,100
70,60,3,5,1,70,60,60,70,50,50,85,85
40,60,6,1,2,50,40,60,90,40,70,90,70
100,0,1,2,1,60,70,60,100,60,50,100,70
60,0,3,6,1,40,100,60,100,30,50,40,100
0,0,6,1,1,40,40,40,85,50,50,100,85
90,70,1,5,1,40,70,60,60,40,70,85,60
40,60,5,1,2,40,60,60,85,50,60,85,70
50,50,4,2,1,85,50,70,100,70,0,40,100
100,30,1,5,2,40,100,50,85,40,50,85,85
50,60,4,5,1,85,40,85,85,60,50,85,50
85,0,1,1,2,30,85,50,50,40,50,70,85
60,60,2,2,2,85,50,70,100,85,100,85,85
50,50,3,1,2,85,85,85,85,30,40,85,100
30,85,7,1,1,70,50,30,70,40,40,70,60
15,85,7,1,1,85,30,15,100,60,85,85,70
85,50,2,1,1,100,15,100,85,15,85,85,100
85,15,4,2,2,50,50,50,85,50,50,85,50
50,50,5,1,2,50,70,85,70,70,50,50,85
85,30,2,5,2,60,100,85,100,70,30,85,100
100,50,1,1,1,85,50,60,100,50,50,100,70
0,100,7,1,2,70,50,50,70,70,85,100,70
85,60,2,2,2,70,100,85,70,85,50,85,85
85,15,1,1,2,85,85,60,100,30,30,60,100
0,60,7,1,2,85,15,0,85,85,50,100,60
40,60,6,6,1,50,30,60,85,70,70,100,85
50,50,4,1,2,60,50,60,60,40,40,70,85
30,50,7,1,1,70,15,70,85,85,50,85,50
50,50,2,5,2,30,70,60,70,50,50,70,60
15,85,7,1,1,70,50,70,60,60,60,85,50
30,30,3,1,2,85,60,70,85,50,70,85,85
70,50,2,2,1,95,60,60,90,80,80,85,100
30,60,7,1,1,40,60,30,60,15,50,85,85
0,40,6,5,2,60,50,100,100,70,40,100,60
60,40,3,1,1,50,50,70,50,30,50,50,70
70,50,2,2,2,85,50,85,70,70,50,85,85
60,50,1,2,2,70,50,50,50,70,70,85,70
50,20,3,1,1,60,60,50,85,35,50,70,100
15,70,7,1,1,50,50,40,60,40,60,100,70
0,50,6,5,1,50,50,30,50,50,50,60,70
50,50,2,1,1,50,70,50,70,60,70,70,85
60,40,3,5,1,50,60,70,70,70,60,70,70
100,0,1,1,1,60,70,100,100,60,50,85,100
30,30,4,1,1,50,30,85,70,15,40,0,85
0,100,7,5,2,70,50,60,100,85,70,100,60
100,0,3,5,1,85,50,100,70,50,50,60,85
40,40,5,1,1,50,50,60,70,60,50,70,85
50,50,4,5,2,40,50,60,100,50,0,50,50
50,70,5,1,1,50,50,60,60,50,40,70,50
50,50,6,1,2,85,50,40,50,40,50,70,70
40,60,6,1,2,40,100,70,60,40,85,70,100
60,50,2,2,2,50,50,50,85,60,85,15,70
40,60,4,1,1,70,40,40,70,60,85,60,40
15,60,7,1,2,100,0,50,85,50,85,100,100
70,70,6,1,2,70,70,85,100,70,60,100,70
30,100,7,5,2,85,62,100,100,42,70,100,93
50,50,2,1,2,70,85,85,85,60,85,85,100
60,60,3,1,2,0,40,0,100,60,60,70,70
70,50,2,1,2,0,60,100,100,50,50,70,100
70,40,3,1,1,70,50,85,85,70,85,85,85
60,30,3,3,1,30,85,50,85,30,60,40,100
60,40,3,1,2,15,50,70,70,60,70,85,70
30,70,7,1,1,70,40,15,100,85,85,100,85
0,85,7,5,1,70,40,30,70,60,70,85,70
60,60,5,1,2,60,60,85,85,15,70,85,100
30,70,5,1,1,60,50,50,50,60,50,100,70
40,30,3,2,1,30,70,60,60,40,50,40,85
40,85,7,1,1,50,45,50,50,30,50,70,80
85,50,1,5,2,50,50,70,70,70,50,100,100
100,0,1,2,2,85,70,85,100,40,0,60,85
70,40,1,5,2,85,85,85,100,70,70,100,85
50,10,2,1,1,25,55,30,75,40,50,50,65
40,15,3,1,2,15,50,50,50,30,50,85,50
15,0,4,3,1,25,60,65,60,20,20,35,100
70,60,3,5,1,30,60,50,70,50,50,60,50
40,50,4,1,1,50,60,50,60,15,0,0,100
85,30,1,1,2,70,85,70,70,60,60,70,70
0,100,7,1,2,85,50,100,100,50,50,100,100
0,60,7,1,2,100,50,30,100,60,85,40,100
0,100,7,1,1,60,60,50,70,70,50,100,50
85,85,3,2,2,85,50,50,100,70,70,100,50
60,30,3,1,2,60,100,40,85,60,60,85,100
50,50,2,1,1,50,50,70,70,0,70,95,85
