NAME,Total_Population,Pop_18_Over,Percent_18_over,prop_pop_white,prop_pop_black,prop_pop_hispanic,prop_pop_asian,prop_pop_aina,prop_pop_nhpi,prop_pop_multi,over18_white,over18_black,over18_hispanic,over18_asian,percent_VAP_registered,percent_VAP_voted,est_number_registered,,est_number_registered_KFF,est_number_voted_KFF,,prop_reg_white,prop_reg_black,prop_reg_asian,prop_reg_hispanic,prop_voted_white,prop_voted_black,prop_voted_asian,prop_voted_hispanic,est_white_reg,est_black_reg,est_asian_reg,est_hispanic_reg,est_white_reg_voters,est_black_reg_voters,est_asian_reg_voters,est_hispanic_reg_voters,,republican_white,democrat_white,ind_white,republican_black,democrat_black,ind_black,republican_hispanic,democrat_hispanic,ind_hispanic,republican_asian,democrat_asian,ind_asian,NAME,white_biden,white_trump,black_biden,black_trump,latino_biden,latino_trump,asian_biden,asian_trump,biden_vote,trump_vote
Nevada,3177772,2487994,78.3,0.444,0.09,0.303,0.09,0.005,0.006,0.063,1104669,223919,753862,223919,0.651,0.509,1619684,1266389,1436000,1123000,Nevada,0.656,0.654,0.592,0.536,0.529,0.527,0.352,0.321,724663,146443,132560,404070,584370,118006,78820,241990,1023185,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Nevada,43,56,80,18,61,35,64,35,703486,669890
New Hampshire,1395231,1142307,81.9,0.867,0.014,0.045,0.026,0.001,0.0001,0.047,990380,15992,51404,29700,0.726,0.591,829315,675103,804000,654000,New Hampshire,0.732,0.794,0.592,0.361,0.602,0.409,0.463,0.226,724958,12698,17582,18557,596209,6541,13751,11617,628118,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,New Hampshire,52,46,,,,,,,424937,365660
New Jersey,9261699,7267590,78.5,0.515,0.118,0.22,0.101,0.001,0.0001,0.046,3742809,857576,1598870,734027,0.705,0.505,5123651,3670133,4402000,3151000,New Jersey,0.724,0.663,0.65,0.586,0.538,0.417,0.42,0.37,2709794,568573,477117,936938,2013631,357609,308291,591582,3271113,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,New Jersey,,,,,,,,,2608400,1883313
New Mexico,2113344,1653831,78.3,0.347,0.015,0.505,0.016,0.081,0.0001,0.035,573879,24807,835185,26461,0.679,0.541,1122951,894723,1026000,818000,New Mexico,0.699,0.726,0.661,0.573,0.567,0.541,0.532,0.422,401142,18010,17491,478561,325390,13421,14077,352448,705336,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,New Mexico,,,,,,,,,501614,401894
New York,19677151,15687863,79.7,0.53,0.133,0.197,0.09,0.002,0,0.048,8314567,2086486,3090509,1411908,0.658,0.491,10322614,7702741,8897000,6631000,New York,0.684,0.617,0.533,0.59,0.537,0.415,0.294,0.38,5687164,1287362,752547,1823400,4464923,865892,415101,1174393,6920309,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,New York,50,48,94,6,76,22,,,5244886,3251997
North Carolina,10698973,8404094,78.6,0.609,0.2,0.104,0.031,0.008,0.001,0.046,5118093,1680819,874026,260527,0.608,0.457,5109689,3840671,4583000,3439000,North Carolina,0.634,0.583,0.544,0.522,0.493,0.412,0.312,0.311,3244871,979917,141727,456241,2523220,692497,81284,271822,3568824,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,North Carolina,33,66,92,7,57,42,,,2684292,2758775
North Dakota,779261,596486,76.5,0.828,0.026,0.044,0.012,0.039,0.0001,0.048,493890,15509,26245,7158,0.756,0.52,450943,310173,418000,288000,North Dakota,0.778,0.674,0.681,0.744,0.547,0.099,0.49,0.252,384247,10453,4874,19527,270158,1535,3507,6614,281815,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,North Dakota,,,,,,,,,114902,235595
Ohio,11756058,9193508,78.2,0.763,0.118,0.044,0.025,0.001,0,0.049,7014647,1084834,404514,229838,0.676,0.478,6214811,4394497,5890000,4162000,Ohio,0.702,0.526,0.687,0.605,0.506,0.329,0.539,0.331,4924282,570623,157898,244731,3549411,356910,123883,133894,4164098,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Ohio,39,60,91,8,57,39,,,,
Oklahoma,4019800,3066654,76.3,0.628,0.065,0.122,0.023,0.069,0.0001,0.092,1925859,199333,374132,70533,0.681,0.47,2088391,1441327,1936000,1335000,Oklahoma,0.721,0.459,0.467,0.442,0.513,0.273,0.321,0.232,1388544,91494,32939,165366,987966,54418,22641,86799,1151823,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Oklahoma,42,57,,,,,,,,
Oregon,4240137,3403149,80.3,0.718,0.017,0.144,0.045,0.007,0.004,0.065,2443461,57854,490053,153142,0.827,0.7,2814404,2382204,2581000,2185000,Oregon,0.833,0.63,0.827,0.556,0.711,0.41,0.6,0.384,2035403,36448,126648,272470,1737301,23720,91885,188181,2041086,0.56,0.41,0.03,0.12,0.83,0.05,0.35,0.61,0.04,0.35,0.63,0.02,Oregon,58,39,,,,,,,,
