date,one,None,Level1,Level2,Level3,gender_binary
2023-11-07,457,234,118,57,48,363
2023-11-08,466,251,101,55,59,377
2023-11-09,496,210,178,46,62,414
2023-11-10,118,36,29,27,26,105
2023-11-11,54,39,6,4,5,45
2023-11-12,72,38,9,13,12,63
2023-11-13,377,191,103,42,41,315
2023-11-14,414,233,94,46,41,339
2023-11-15,518,265,125,45,83,421
2023-11-16,463,226,130,51,56,377
2023-11-17,390,147,137,55,51,338
2023-11-18,117,75,11,14,17,83
2023-11-19,65,42,5,5,13,47
2023-11-20,334,181,78,37,38,261
2023-11-21,392,186,112,50,44,315
2023-11-22,385,206,102,37,40,308
2023-11-23,68,31,12,7,18,61
2023-11-24,219,96,78,18,27,190
2023-11-25,31,17,6,6,2,25
2023-11-26,42,25,8,3,6,37
2023-11-27,331,157,110,30,34,277
2023-11-28,428,206,126,45,51,345
2023-11-29,463,258,85,53,67,366
2023-11-30,435,243,114,41,37,351
2023-12-01,388,157,134,48,49,332
2023-12-02,146,108,19,8,11,101
2023-12-03,63,39,8,7,9,53
2023-12-04,379,199,95,44,41,321
2023-12-05,497,296,116,51,34,381
2023-12-06,476,244,116,50,66,368
2023-12-07,403,198,108,41,56,326
2023-12-08,438,215,130,53,40,388
2023-12-09,169,128,9,9,23,152
2023-12-10,63,33,6,4,20,58
2023-12-11,402,220,89,48,45,307
2023-12-12,416,221,115,34,46,328
2023-12-13,472,233,121,58,60,375
2023-12-14,432,215,110,48,59,344
2023-12-15,382,141,134,58,49,332
2023-12-16,157,121,15,7,14,116
2023-12-17,131,92,10,12,17,122
2023-12-18,474,292,94,40,48,400
2023-12-19,515,322,106,49,38,444
2023-12-20,698,469,103,59,67,611
2023-12-21,512,321,100,51,40,439
2023-12-22,477,239,137,53,48,453
2023-12-23,239,209,6,11,13,223
2023-12-24,182,147,12,10,13,179
2023-12-25,163,153,2,4,4,150
2023-12-26,252,146,51,29,26,223
2023-12-27,357,260,58,23,16,301
2023-12-28,298,191,65,18,24,248
2023-12-29,259,91,114,28,26,223
2023-12-30,46,26,9,3,8,37
2023-12-31,46,18,7,11,10,39
2024-01-01,38,22,9,4,3,34
2024-01-02,277,141,62,42,32,239
2024-01-03,343,154,123,32,34,289
2024-01-04,382,173,116,50,43,337
2024-01-05,332,132,124,34,42,283
2024-01-06,101,72,9,5,15,74
2024-01-07,71,43,14,8,6,61
2024-01-08,339,186,92,31,30,284
2024-01-09,371,210,82,37,42,277
2024-01-10,450,213,133,57,47,351
2024-01-11,400,178,127,44,51,342
2024-01-12,343,125,132,48,38,305
2024-01-13,122,88,18,9,7,91
2024-01-14,91,63,8,11,9,86
2024-01-15,84,56,11,8,9,62
2024-01-16,319,152,112,30,25,272
2024-01-17,356,182,103,33,38,282
2024-01-18,457,214,140,46,57,378
2024-01-19,291,100,116,53,22,259
2024-01-20,93,64,12,10,7,69
2024-01-21,70,43,10,13,4,64
2024-01-22,292,137,89,34,32,247
2024-01-23,384,174,112,47,51,321
2024-01-24,467,252,112,53,50,366
2024-01-25,433,197,128,56,52,359
2024-01-26,364,143,117,53,51,315
2024-01-27,72,27,9,9,27,67
2024-01-28,63,30,13,14,6,55
2024-01-29,362,175,100,38,49,295
2024-01-30,416,241,111,28,36,329
2024-01-31,413,222,105,43,43,345
2024-02-01,614,192,270,99,53,541
2024-02-02,398,130,164,56,48,334
2024-02-03,112,72,13,9,18,81
2024-02-04,68,36,10,8,14,61
2024-02-05,413,205,138,41,29,327
2024-02-06,469,226,144,55,44,404
2024-02-07,436,169,140,61,66,366
2024-02-08,477,226,145,54,52,398
2024-02-09,404,169,150,50,35,359
2024-02-10,141,98,15,6,22,130
2024-02-11,76,36,14,15,11,69
2024-02-12,364,178,112,36,38,304
2024-02-13,410,201,124,44,41,351
2024-02-14,465,229,130,46,60,383
2024-02-15,450,201,133,48,68,378
2024-02-16,434,175,165,37,57,372
2024-02-17,70,41,15,6,8,53
2024-02-18,103,72,12,9,10,92
2024-02-19,96,49,19,11,17,89
2024-02-20,397,215,109,32,41,325
2024-02-21,431,212,120,50,49,352
2024-02-22,442,214,100,50,78,361
2024-02-23,445,160,167,54,64,396
2024-02-24,133,84,16,10,23,100
2024-02-25,81,52,11,9,9,66
2024-02-26,445,218,109,70,48,386
2024-02-27,451,244,105,66,36,361
2024-02-28,414,197,101,53,63,335
2024-02-29,459,220,126,58,55,373
2024-03-01,399,160,146,43,50,337
2024-03-02,81,47,7,12,15,64
2024-03-03,43,24,9,5,5,42
2024-03-04,353,178,99,37,39,285
2024-03-05,465,204,138,56,67,385
2024-03-06,516,244,131,65,76,424
2024-03-07,467,216,136,42,73,366
2024-03-08,395,134,137,60,64,340
2024-03-09,113,71,10,13,19,77
2024-03-10,65,29,16,5,15,58
2024-03-11,457,207,148,58,44,388
2024-03-12,490,227,155,45,63,415
2024-03-13,505,273,118,63,51,427
2024-03-14,414,167,131,59,57,366
2024-03-15,380,124,139,60,57,327
2024-03-16,78,45,10,9,14,68
2024-03-17,78,26,8,11,33,70
2024-03-18,408,218,95,49,46,321
2024-03-19,459,226,134,55,44,379
2024-03-20,443,203,122,49,69,367
2024-03-21,459,211,132,52,64,395
2024-03-22,396,137,133,62,64,361
2024-03-23,89,55,13,10,11,64
2024-03-24,75,37,13,5,20,69
2024-03-25,402,210,98,48,46,331
2024-03-26,425,209,116,48,52,343
2024-03-27,455,230,117,41,67,373
2024-03-28,440,193,130,53,64,372
2024-03-29,329,122,113,43,51,296
2024-03-30,34,27,2,3,2,29
2024-03-31,40,30,4,3,3,35
2024-04-01,345,168,91,38,48,298
2024-04-02,364,171,96,52,45,302
2024-04-03,460,257,103,55,45,377
2024-04-04,404,180,118,48,58,354
2024-04-05,397,157,137,56,47,354
2024-04-06,97,50,14,12,21,76
2024-04-07,66,34,11,6,15,53
2024-04-08,382,190,103,47,42,326
2024-04-09,447,223,123,56,45,379
2024-04-10,439,221,110,54,54,354
2024-04-11,418,199,119,54,46,360
2024-04-12,411,172,144,48,47,356
2024-04-13,83,43,11,10,19,66
2024-04-14,62,35,7,8,12,54
2024-04-15,476,231,118,63,64,395
2024-04-16,526,244,171,54,57,446
2024-04-17,499,220,139,66,74,410
2024-04-18,501,213,152,70,66,426
2024-04-19,420,140,156,65,59,368
2024-04-20,74,32,18,11,13,63
2024-04-21,80,40,15,9,16,69
2024-04-22,453,218,122,57,56,380
2024-04-23,486,242,116,70,58,396
2024-04-24,534,277,123,70,64,426
2024-04-25,494,235,135,61,63,412
2024-04-26,421,167,150,51,53,368
2024-04-27,43,30,4,4,5,31
2024-04-28,94,58,14,10,12,79
2024-04-29,403,200,108,42,53,326
2024-04-30,437,213,118,50,56,354
2024-05-01,474,240,130,46,58,378
2024-05-02,437,199,118,52,68,367
2024-05-03,383,153,108,62,60,344
